"subid"	"verb"	"noun"	"dir"	"big"	"small"
"238"	"anon-187.json"	"are"	"monkey"	"na"	1	1
"239"	"anon-187.json"	"are"	"plane"	"na"	2	1
"240"	"anon-187.json"	"are"	"umbrella"	"na"	1	1
"241"	"anon-188.json"	"are"	"baby"	"na"	2	4
"242"	"anon-188.json"	"are"	"balloon"	"na"	2	2
"243"	"anon-188.json"	"are"	"bunny"	"na"	3	3
"244"	"anon-188.json"	"are"	"cake"	"na"	2	4
"245"	"anon-188.json"	"are"	"duckling"	"na"	3	3
"246"	"anon-188.json"	"are"	"elephant"	"na"	3	4
"247"	"anon-188.json"	"are"	"gnome"	"na"	2	3
"248"	"anon-188.json"	"are"	"hippo"	"na"	3	3
"249"	"anon-188.json"	"are"	"house"	"na"	2	3
"250"	"anon-188.json"	"are"	"monkey"	"na"	3	3
"251"	"anon-188.json"	"are"	"plane"	"na"	3	3
"252"	"anon-188.json"	"are"	"umbrella"	"na"	2	3
"253"	"anon-194.json"	"are"	"baby"	"na"	2	2
"254"	"anon-194.json"	"are"	"balloon"	"na"	2	2
"255"	"anon-194.json"	"are"	"bunny"	"na"	2	2
"256"	"anon-194.json"	"are"	"cake"	"na"	3	2
"257"	"anon-194.json"	"are"	"duckling"	"na"	2	3
"258"	"anon-194.json"	"are"	"elephant"	"na"	2	2
"259"	"anon-194.json"	"are"	"gnome"	"na"	2	2
"260"	"anon-194.json"	"are"	"hippo"	"na"	2	3
"261"	"anon-194.json"	"are"	"house"	"na"	1	3
"262"	"anon-194.json"	"are"	"monkey"	"na"	1	3
"263"	"anon-194.json"	"are"	"plane"	"na"	2	4
"264"	"anon-194.json"	"are"	"umbrella"	"na"	2	3
"265"	"anon-20.json"	"are"	"baby"	"na"	2	3
"266"	"anon-20.json"	"are"	"balloon"	"na"	2	3
"267"	"anon-20.json"	"are"	"bunny"	"na"	3	2
"268"	"anon-20.json"	"are"	"cake"	"na"	2	2
"269"	"anon-20.json"	"are"	"duckling"	"na"	3	3
"270"	"anon-20.json"	"are"	"elephant"	"na"	1	3
"271"	"anon-20.json"	"are"	"gnome"	"na"	3	2
"272"	"anon-20.json"	"are"	"hippo"	"na"	3	3
"273"	"anon-20.json"	"are"	"house"	"na"	2	3
"274"	"anon-20.json"	"are"	"monkey"	"na"	2	3
"275"	"anon-20.json"	"are"	"plane"	"na"	2	3
"276"	"anon-20.json"	"are"	"umbrella"	"na"	2	2
"277"	"anon-200.json"	"are"	"baby"	"na"	2	3
"278"	"anon-200.json"	"are"	"balloon"	"na"	3	2
"279"	"anon-200.json"	"are"	"bunny"	"na"	2	3
"280"	"anon-200.json"	"are"	"cake"	"na"	2	2
"281"	"anon-200.json"	"are"	"duckling"	"na"	2	2
"282"	"anon-200.json"	"are"	"elephant"	"na"	2	3
"283"	"anon-200.json"	"are"	"gnome"	"na"	2	3
"284"	"anon-200.json"	"are"	"hippo"	"na"	2	2
"285"	"anon-200.json"	"are"	"house"	"na"	2	3
"286"	"anon-200.json"	"are"	"monkey"	"na"	2	2
"287"	"anon-200.json"	"are"	"plane"	"na"	2	2
"288"	"anon-200.json"	"are"	"umbrella"	"na"	2	3
"289"	"anon-204.json"	"are"	"baby"	"na"	3	3
"290"	"anon-204.json"	"are"	"balloon"	"na"	5	4
"291"	"anon-204.json"	"are"	"bunny"	"na"	3	3
"292"	"anon-204.json"	"are"	"cake"	"na"	4	3
"293"	"anon-204.json"	"are"	"duckling"	"na"	3	4
"294"	"anon-204.json"	"are"	"elephant"	"na"	4	3
"295"	"anon-204.json"	"are"	"gnome"	"na"	3	3
"296"	"anon-204.json"	"are"	"hippo"	"na"	4	2
"297"	"anon-204.json"	"are"	"house"	"na"	3	3
"298"	"anon-204.json"	"are"	"monkey"	"na"	3	3
"299"	"anon-204.json"	"are"	"plane"	"na"	4	4
"300"	"anon-204.json"	"are"	"umbrella"	"na"	4	3
"301"	"anon-206.json"	"are"	"baby"	"na"	3	3
"302"	"anon-206.json"	"are"	"balloon"	"na"	3	3
"303"	"anon-206.json"	"are"	"bunny"	"na"	3	3
"304"	"anon-206.json"	"are"	"cake"	"na"	3	4
"305"	"anon-206.json"	"are"	"duckling"	"na"	3	3
"306"	"anon-206.json"	"are"	"elephant"	"na"	3	3
"307"	"anon-206.json"	"are"	"gnome"	"na"	3	3
"308"	"anon-206.json"	"are"	"hippo"	"na"	3	3
"309"	"anon-206.json"	"are"	"house"	"na"	3	3
"310"	"anon-206.json"	"are"	"monkey"	"na"	3	4
"311"	"anon-206.json"	"are"	"plane"	"na"	2	3
"312"	"anon-206.json"	"are"	"umbrella"	"na"	3	3
"313"	"anon-209.json"	"are"	"baby"	"na"	3	4
"314"	"anon-209.json"	"are"	"balloon"	"na"	3	4
"315"	"anon-209.json"	"are"	"bunny"	"na"	3	3
"316"	"anon-209.json"	"are"	"cake"	"na"	3	4
"317"	"anon-209.json"	"are"	"duckling"	"na"	3	4
"318"	"anon-209.json"	"are"	"elephant"	"na"	3	NA
"319"	"anon-209.json"	"are"	"gnome"	"na"	3	3
"320"	"anon-209.json"	"are"	"hippo"	"na"	3	4
"321"	"anon-209.json"	"are"	"house"	"na"	1	3
"322"	"anon-209.json"	"are"	"monkey"	"na"	3	3
"323"	"anon-209.json"	"are"	"plane"	"na"	2	4
"324"	"anon-209.json"	"are"	"umbrella"	"na"	3	2
"325"	"anon-212.json"	"are"	"baby"	"na"	2	4
"326"	"anon-212.json"	"are"	"balloon"	"na"	3	2
"327"	"anon-212.json"	"are"	"bunny"	"na"	3	3
"328"	"anon-212.json"	"are"	"cake"	"na"	2	3
"329"	"anon-212.json"	"are"	"duckling"	"na"	2	4
"330"	"anon-212.json"	"are"	"elephant"	"na"	2	3
"331"	"anon-212.json"	"are"	"gnome"	"na"	2	3
"332"	"anon-212.json"	"are"	"hippo"	"na"	3	4
"333"	"anon-212.json"	"are"	"house"	"na"	2	NA
"334"	"anon-212.json"	"are"	"monkey"	"na"	2	3
"335"	"anon-212.json"	"are"	"plane"	"na"	3	2
"336"	"anon-212.json"	"are"	"umbrella"	"na"	2	2
"337"	"anon-214.json"	"are"	"baby"	"na"	2	4
"338"	"anon-214.json"	"are"	"balloon"	"na"	3	2
"339"	"anon-214.json"	"are"	"bunny"	"na"	2	3
"340"	"anon-214.json"	"are"	"cake"	"na"	3	3
"341"	"anon-214.json"	"are"	"duckling"	"na"	2	3
"342"	"anon-214.json"	"are"	"elephant"	"na"	1	2
"343"	"anon-214.json"	"are"	"gnome"	"na"	NA	2
"344"	"anon-214.json"	"are"	"hippo"	"na"	2	3
"345"	"anon-214.json"	"are"	"house"	"na"	2	3
"346"	"anon-214.json"	"are"	"monkey"	"na"	3	3
"347"	"anon-214.json"	"are"	"plane"	"na"	3	2
"348"	"anon-214.json"	"are"	"umbrella"	"na"	2	3
"349"	"anon-215.json"	"are"	"baby"	"na"	1	3
"350"	"anon-215.json"	"are"	"balloon"	"na"	2	3
"351"	"anon-215.json"	"are"	"bunny"	"na"	3	3
"352"	"anon-215.json"	"are"	"cake"	"na"	3	4
"353"	"anon-215.json"	"are"	"duckling"	"na"	3	3
"354"	"anon-215.json"	"are"	"elephant"	"na"	2	4
"355"	"anon-215.json"	"are"	"gnome"	"na"	2	2
"356"	"anon-215.json"	"are"	"hippo"	"na"	1	4
"357"	"anon-215.json"	"are"	"house"	"na"	3	4
"358"	"anon-215.json"	"are"	"monkey"	"na"	2	3
"359"	"anon-215.json"	"are"	"plane"	"na"	1	3
"360"	"anon-215.json"	"are"	"umbrella"	"na"	1	5
"361"	"anon-217.json"	"are"	"baby"	"na"	0	4
"362"	"anon-217.json"	"are"	"balloon"	"na"	2	2
"363"	"anon-217.json"	"are"	"bunny"	"na"	1	4
"364"	"anon-217.json"	"are"	"cake"	"na"	2	3
"365"	"anon-217.json"	"are"	"duckling"	"na"	1	4
"366"	"anon-217.json"	"are"	"elephant"	"na"	0	5
