"subid"	"verb"	"noun"	"dir"	"big"	"small"
"243"	"anon-151.json"	"are"	"blueberry"	"na"	2	1
"244"	"anon-151.json"	"are"	"candy"	"na"	2	2
"245"	"anon-151.json"	"are"	"earring"	"na"	2	2
"246"	"anon-151.json"	"are"	"fly"	"na"	3	3
"247"	"anon-151.json"	"are"	"hazelnut"	"na"	2	1
"248"	"anon-151.json"	"are"	"ladybug"	"na"	3	2
"249"	"anon-151.json"	"are"	"pill"	"na"	2	1
"250"	"anon-151.json"	"are"	"pin"	"na"	2	1
"251"	"anon-151.json"	"are"	"seed"	"na"	2	1
"252"	"anon-151.json"	"are"	"tack"	"na"	3	1
"253"	"anon-153.json"	"are"	"ant"	"na"	4	3
"254"	"anon-153.json"	"are"	"bean"	"na"	4	3
"255"	"anon-153.json"	"are"	"blueberry"	"na"	4	2
"256"	"anon-153.json"	"are"	"candy"	"na"	4	3
"257"	"anon-153.json"	"are"	"earring"	"na"	4	2
"258"	"anon-153.json"	"are"	"fly"	"na"	3	2
"259"	"anon-153.json"	"are"	"hazelnut"	"na"	5	2
"260"	"anon-153.json"	"are"	"ladybug"	"na"	3	2
"261"	"anon-153.json"	"are"	"pill"	"na"	6	1
"262"	"anon-153.json"	"are"	"pin"	"na"	4	3
"263"	"anon-153.json"	"are"	"seed"	"na"	3	2
"264"	"anon-153.json"	"are"	"tack"	"na"	5	3
"265"	"anon-156.json"	"are"	"ant"	"na"	2	1
"266"	"anon-156.json"	"are"	"bean"	"na"	3	1
"267"	"anon-156.json"	"are"	"blueberry"	"na"	3	NA
"268"	"anon-156.json"	"are"	"candy"	"na"	3	1
"269"	"anon-156.json"	"are"	"earring"	"na"	3	1
"270"	"anon-156.json"	"are"	"fly"	"na"	3	1
"271"	"anon-156.json"	"are"	"hazelnut"	"na"	3	2
"272"	"anon-156.json"	"are"	"ladybug"	"na"	2	1
"273"	"anon-156.json"	"are"	"pill"	"na"	3	1
"274"	"anon-156.json"	"are"	"pin"	"na"	3	1
"275"	"anon-156.json"	"are"	"seed"	"na"	3	1
"276"	"anon-156.json"	"are"	"tack"	"na"	3	1
"277"	"anon-161.json"	"are"	"ant"	"na"	2	1
"278"	"anon-161.json"	"are"	"bean"	"na"	1	1
"279"	"anon-161.json"	"are"	"blueberry"	"na"	1	1
"280"	"anon-161.json"	"are"	"candy"	"na"	1	1
"281"	"anon-161.json"	"are"	"earring"	"na"	2	2
"282"	"anon-161.json"	"are"	"fly"	"na"	2	2
"283"	"anon-161.json"	"are"	"hazelnut"	"na"	1	2
"284"	"anon-161.json"	"are"	"ladybug"	"na"	1	1
"285"	"anon-161.json"	"are"	"pill"	"na"	2	1
"286"	"anon-161.json"	"are"	"pin"	"na"	1	2
"287"	"anon-161.json"	"are"	"seed"	"na"	2	2
"288"	"anon-161.json"	"are"	"tack"	"na"	3	NA
"289"	"anon-162.json"	"are"	"ant"	"na"	3	3
"290"	"anon-162.json"	"are"	"bean"	"na"	3	2
"291"	"anon-162.json"	"are"	"blueberry"	"na"	3	2
